Comment,Designator,Footprint,LCSC,Quantity
TestPoint,TP9,TestPoint_Pad_D2.0mm,,1
D_Small,D25,Diode_SOD-123,,1
TestPoint,TP7,TestPoint_Pad_D2.0mm,,1
100nF,C9,C_0402_1005Metric,,1
27Ω,R3,R_0402_1005Metric,,1
TestPoint,TP22,TestPoint_Pad_D2.0mm,,1
D_Small,D4,Diode_SOD-123,,1
D_Small,D33,Diode_SOD-123,,1
D_Small,D18,Diode_SOD-123,,1
D_Small,D35,Diode_SOD-123,,1
TestPoint,TP4,TestPoint_Pad_D2.0mm,,1
D_Small,D8,Diode_SOD-123,,1
SW_Push,SW1,Button_TL3342,,1
TestPoint,TP16,TestPoint_Pad_D2.0mm,,1
D_Small,D11,Diode_SOD-123,,1
D_Small,D16,Diode_SOD-123,,1
1kΩ,R9,R_0402_1005Metric,,1
D_Small,D15,Diode_SOD-123,,1
D_Small,D31,Diode_SOD-123,,1
D_Small,D32,Diode_SOD-123,,1
1kΩ,R6,R_0402_1005Metric,,1
100nF,C5,C_0402_1005Metric,,1
TestPoint,TP15,TestPoint_Pad_D2.0mm,,1
TestPoint,TP12,TestPoint_Pad_D2.0mm,,1
D_Small,D20,Diode_SOD-123,,1
D_Small,D17,Diode_SOD-123,,1
100nF,C7,C_0402_1005Metric,,1
TestPoint,TP5,TestPoint_Pad_D2.0mm,,1
100nF,C12,C_0402_1005Metric,,1
D_Small,D34,Diode_SOD-123,,1
100nF,C10,C_0402_1005Metric,,1
100nF,C3,C_0402_1005Metric,,1
D_Small,D21,Diode_SOD-123,,1
D_Small,D13,Diode_SOD-123,,1
TestPoint,TP2,TestPoint_Pad_D2.0mm,,1
33pF,C14,C_0402_1005Metric,,1
5.1kΩ,R7,R_0402_1005Metric,,1
100nF,C4,C_0402_1005Metric,,1
D_Small,D23,Diode_SOD-123,,1
TestPoint,TP21,TestPoint_Pad_D2.0mm,,1
27Ω,R4,R_0402_1005Metric,,1
D_Small,D3,Diode_SOD-123,,1
TestPoint,TP8,TestPoint_Pad_D2.0mm,,1
D_Small,D26,Diode_SOD-123,,1
SW_Push,SW2,Button_TL3342,,1
1µF,C11,C_0402_1005Metric,,1
D_Small,D10,Diode_SOD-123,,1
TestPoint,TP13,TestPoint_Pad_D2.0mm,,1
1µF,C2,C_0402_1005Metric,,1
33pF,C15,C_0402_1005Metric,,1
TestPoint,TP3,TestPoint_Pad_D2.0mm,,1
100nF,C6,C_0402_1005Metric,,1
5.1kΩ,R8,R_0402_1005Metric,,1
D_Small,D7,Diode_SOD-123,,1
D_Small,D27,Diode_SOD-123,,1
D_Small,D30,Diode_SOD-123,,1
D_Small,D5,Diode_SOD-123,,1
100nF,C13,C_0402_1005Metric,,1
D_Small,D19,Diode_SOD-123,,1
100nF,C8,C_0402_1005Metric,,1
D_Small,D1,Diode_SOD-123,,1
D_Small,D6,Diode_SOD-123,,1
D_Small,D29,Diode_SOD-123,,1
D_Small,D12,Diode_SOD-123,,1
TestPoint,TP20,TestPoint_Pad_D2.0mm,,1
TestPoint,TP18,TestPoint_Pad_D2.0mm,,1
TestPoint,TP17,TestPoint_Pad_D2.0mm,,1
TestPoint,TP19,TestPoint_Pad_D2.0mm,,1
